Sentence_ID,Domain,Sentence,Word_Count
S51,Business,Red Bull snaps up Jaguar F1 team Energy drink company Red Bull has bought the Jaguar Formula One team.,19
S52,Business,Dell's Secret Earnings Engine The company gets its highest profit margins from a conspicuously old economy business.,17
S53,Business,Which Medications Are Your Best Bets? Consumer Reports' effort to rate drugs offers a lesson to pharmaceutical companies.,18
S54,Business,"M'm! M'm! Could Be Better! Campbell Soup turns in a good quarter, but there are better alternatives.",17
S55,Business,"Is Santa Skipping Wal-Mart? Plus, few defectors in the wireless war, and Overstock's locked and loaded.",16
S56,Business,Whole Foods' Healthy Outlook The natural foods chain is predicting double-digit sales growth until 2010.,15
S57,Business,A License to Print Money Will Coinstar's diversification efforts damage its uniquely profitable business model?,15
S58,Business,"Palestinian economy in decline The Palestinian economy is in crisis, performing well below its potential, the World Bank says.",19
S59,Business,Synnex's World Isn't Flat The company is moving along a dual track -- growth through acquisitions and organic efforts.,19
S60,Business,Rising material costs hit Heinz Second quarter profits at ketchup maker Heinz are hit by higher material and transport costs.,20
S61,Business,Profit From Management Integrity Laser manufacturer Candela's management avoids taking the easy way out to explain shortfalls.,17
S62,Business,United Airlines imposes wage cuts America's second largest airline announces widespread pay cuts as it strives to emerge from bankruptcy.,20
S63,Business,"Is Disney a Growth Stock? Plus, Mel's Sirius decision, Phil hangs up his Nikes, and Mattel's ""free plus"" dividend.",19
S64,Business,PDL Rakes It In A robust revenue stream combined with an exciting drug pipeline is the recipe for success.,19
S65,Business,"Emisphere Wins Novartis Over Emisphere warrants close attention, although massive profits are not in the near-term cards.",17
S66,Business,"Pricey Gas Stalls AutoZone The retailer posts a flat first quarter, claiming high gas prices affect consumers' car budgets.",19
S67,Business,"One Really Ugly Mark on Star Gas Inscribe this stock with ""losing customers, bad debt terms, and, maybe, bankruptcy.""",19
S68,Business,High oil prices hit China growth Rising oil prices are expected to hit China's growth rate this year.,18
S69,Business,Bowes Takes a Bow Pitney Bowes always seems to mail it in -- and that's not necessarily a bad thing.,20
S70,Business,"ADV: \$150,000 Mortgage for Under \$690/Month Mortgage rates are at record lows. Save \$1000s on your mortgage payment. Free quotes.",20
S71,Business,"Wal-Mart Sees Lackluster November Sales (Reuters) Reuters - Wal-Mart Stores Inc. , the\world's largest retailer, slashed its own expectations of",20
S72,Business,"Don't Listen to Buffett Not all the time, anyway. Moneyball author Michael Lewis says conventional wisdom creates inefficiencies.",18
S73,Business,In Pursuit of Happiness One Fool experiences more than two hours of lost pre-party productivity in a Barnes Noble quest.,20
S74,Business,Middle Class America The Post's Jonathan Weisman discusses the increasing importance of temporary employment to the American economy.,18
S75,Business,"Stern and Letterman Get Sirius Stern has a date with Letterman tonight, and you can expect fireworks.",17
S76,Sci/Tech,"Nortel to lay off 3,500 The scandal-beset company will also lay off about 10 percent of its work force.",19
S77,Sci/Tech,"Microsoft Eyes Lighter Versions of Longhorn Operating systems would be designed for specific server tasks, company says.",17
S78,Sci/Tech,"Tokyo Edge: New Choices in Digital Entertainment PC and home theater make sleek package, while new portable music devices abound.",20
S79,Sci/Tech,First Look: Skip Gateway's MP3 Photo Jukebox Color display and photo support can't save oddly designed player.,17
S80,Sci/Tech,Reg readers name BSA antipiracy weasel Poll result The people have spoken,12
S81,Sci/Tech,"GeekTech: Here Comes BTX New industry standard should offer cooler, quieter systems--so why isn't anybody rushing to embrace it?",19
S82,Sci/Tech,"Microsoft Readies Windows Server 2003 Update R2, an interim release, will begin beta testing later this month.",17
S83,Sci/Tech,Microsoft sees bespoke Windows everywhere Analysis Premium hand-tuning service available,10
S84,Sci/Tech,Virus targets 64-bit Windows Digital pest prototype infects files only found in early Windows code for AMD 64-bit Opteron processors.,20
S85,Sci/Tech,"Sony camera blends photos, video The company's latest digital camera includes advanced video features.",14
S86,Sci/Tech,"Triumphant return of the big Reg logo t-shirt Cash'n'Carrion Cue trumpets, etc",12
S87,Sci/Tech,Worms may slow Parkinson's A protein which helps increase lifespan in worms offers hope for new Parkinson's and Alzheimer's treatments.,20
S88,Sci/Tech,"FCC Moves Toward Voice, Data, Broadband on Planes Agency to auction licenses for communications; consider cell phone use during flights.",20
S89,Sci/Tech,Thumb twiddling on cybersecurity Congresswoman Zoe Lofgren says bureaucratic miscues continue to hamstring serious government action to combat cyberattacks.,19
S90,Sci/Tech,Last Xmas order date for the Antipodes Cash'n'Carrion Get 'em in by Sunday,13
S91,Sci/Tech,Alleged Apple Flash iPod 'partner' signs with Rio SigmaTel's chips claimed to have won Apple's support,16
S92,Sci/Tech,Older Windows OSes need critical patch Microsoft releases critical Explorer patch VNUNet.com,12
S93,Sci/Tech,Photo: XM's portable satellite radio XM Satellite Radio Holdings introduced a handheld portable version of its satellite radio.,18
S94,Sci/Tech,US cyber security chief resigns The man charged with making US computer networks safer has resigned suddenly.,17
S95,Sci/Tech,McAfee Enhances Spyware Protection (PC World) PC World - Antivirus company offers improved anti-spyware app to users for a fee.,20
S96,Sci/Tech,Arm Holdings buys US tech firm Microprocessor designer Arm Holdings buys US tech firm Artisan for about \$913m.,18
S97,Sci/Tech,Outsourcing Finds Vietnam Vietnam is making a big push to turn itself into an outsourcing powerhouse.,16
S98,Sci/Tech,Watchdog attacks ID card scheme Proposals for identity cards and a population register are opposed by Britain's information watchdog.,19
S99,Sci/Tech,"Salesforce.com reports subscriber surge The subscription software company adds 85,000 individual subscribers to its online customer information system.",18
S100,Sci/Tech,"Will historic flight launch space tourism? Regardless, space competitions are poised to become big business.",15
